Completion Note,Keywords for 1,Keywords for 2,Keywords for 3
"Oven: 2007213090045
Cook Count: 234849
Voltage: 208V
Mag Amps: 
Left: 8.9A
Right: 8.8A
Heater Amps: 11.0A
 
Issue: Door open error
 
Resolution: Found blown 20A fuse, bad switches and worn out door hinges.
Replaced door hinges, fuse and replaced and adjusted switches, ran recommission tests, all passed.

Oven operating nominally.","['door', 'fuse', 'switch', '110a', '2007213090045cook', '208vmag', '20a', '234849voltage', '88aheater', '89aright', 'adjust', 'amp', 'amps', 'bad', 'blow', 'count', 'error', 'hinge', 'hingesreplace', 'issue', 'leave', 'nominally', 'open', 'operate', 'oven', 'passedoven', 'recommission', 'replace', 'resolution', 'run', 'test', 'wear']","['110a issue', '2007213090045cook count', '208vmag amp', '20a fuse', '234849voltage 208vmag', '88aheater amps', '89aright 88aheater', 'adjust switch', 'amp leave', 'amps 110a', 'bad switch', 'blow 20a', 'count 234849voltage', 'door hinge', 'door hingesreplace', 'door open', 'error resolution', 'fuse bad', 'fuse replace', 'hinge fuse', 'hingesreplace door', 'issue door', 'leave 89aright', 'open error', 'operate nominally', 'oven 2007213090045cook', 'passedoven operate', 'recommission test', 'replace adjust', 'resolution blow', 'run recommission', 'switch run', 'switch wear', 'test passedoven', 'wear door']","['110a issue door', '2007213090045cook count 234849voltage', '208vmag amp leave', '20a fuse bad', '234849voltage 208vmag amp', '88aheater amps 110a', '89aright 88aheater amps', 'adjust switch run', 'amp leave 89aright', 'amps 110a issue', 'bad switch wear', 'blow 20a fuse', 'count 234849voltage 208vmag', 'door hinge fuse', 'door hingesreplace door', 'door open error', 'error resolution blow', 'fuse bad switch', 'fuse replace adjust', 'hinge fuse replace', 'hingesreplace door hinge', 'issue door open', 'leave 89aright 88aheater', 'open error resolution', 'oven 2007213090045cook count', 'passedoven operate nominally', 'recommission test passedoven', 'replace adjust switch', 'resolution blow 20a', 'run recommission test', 'switch run recommission', 'switch wear door', 'test passedoven operate', 'wear door hingesreplace']"
"Error message on oven will not cook ""says constant key press detected


Advice store to trouble shoot, oven is now working","['oven', 'constant', 'cook', 'detectedadvice', 'error', 'key', 'message', 'press', 'say', 'shoot', 'store', 'trouble', 'work']","['constant key', 'cook say', 'detectedadvice store', 'error message', 'key press', 'message oven', 'oven cook', 'oven work', 'press detectedadvice', 'say constant', 'shoot oven', 'store trouble', 'trouble shoot']","['constant key press', 'cook say constant', 'detectedadvice store trouble', 'error message oven', 'key press detectedadvice', 'message oven cook', 'oven cook say', 'press detectedadvice store', 'say constant key', 'shoot oven work', 'store trouble shoot', 'trouble shoot oven']"
nan,['nan'],[],[]
"Right Oven
Cook Count: 250342
Faults: Door Open
Voltage: 208(211)
Amps: Right: 8.3
             Left: 8.2
Heater Amps: 10.3

Issue: Found oven with weak door switches and a blown right capacitor 

Resolution: Replaced door switch, fuse and capacitor 

Closed with FCC at 1050PST","['door', 'right', 'capacitor', 'switch', '103issue', '1050pst', '208211amp', '250342faults', '82heater', '83', 'amps', 'blow', 'closed', 'count', 'fcc', 'fuse', 'left', 'openvoltage', 'oven', 'ovencook', 'replaced', 'resolution', 'weak']","['103issue oven', '208211amp right', '250342faults door', '82heater amps', '83 left', 'amps 103issue', 'blow right', 'capacitor closed', 'capacitor resolution', 'closed fcc', 'count 250342faults', 'door openvoltage', 'door switch', 'fcc 1050pst', 'fuse capacitor', 'left 82heater', 'openvoltage 208211amp', 'oven weak', 'ovencook count', 'replaced door', 'resolution replaced', 'right 83', 'right capacitor', 'right ovencook', 'switch blow', 'switch fuse', 'weak door']","['103issue oven weak', '208211amp right 83', '250342faults door openvoltage', '82heater amps 103issue', '83 left 82heater', 'amps 103issue oven', 'blow right capacitor', 'capacitor closed fcc', 'capacitor resolution replaced', 'closed fcc 1050pst', 'count 250342faults door', 'door openvoltage 208211amp', 'door switch blow', 'door switch fuse', 'fuse capacitor closed', 'left 82heater amps', 'openvoltage 208211amp right', 'oven weak door', 'ovencook count 250342faults', 'replaced door switch', 'resolution replaced door', 'right 83 left', 'right capacitor resolution', 'right ovencook count', 'switch blow right', 'switch fuse capacitor', 'weak door switch']"
"Right Oven
Cook Count: 250342
Faults: Door Open
Voltage: 208(211)
Amps: Right: 8.3
             Left: 8.2
Heater Amps: 10.3

Issue: Found oven with weak door switches and a blown right capacitor 

Resolution: Replaced door switch, fuse and capacitor 

Closed with FCC at 1050PST","['door', 'right', 'capacitor', 'switch', '103issue', '1050pst', '208211amp', '250342faults', '82heater', '83', 'amps', 'blow', 'closed', 'count', 'fcc', 'fuse', 'left', 'openvoltage', 'oven', 'ovencook', 'replaced', 'resolution', 'weak']","['103issue oven', '208211amp right', '250342faults door', '82heater amps', '83 left', 'amps 103issue', 'blow right', 'capacitor closed', 'capacitor resolution', 'closed fcc', 'count 250342faults', 'door openvoltage', 'door switch', 'fcc 1050pst', 'fuse capacitor', 'left 82heater', 'openvoltage 208211amp', 'oven weak', 'ovencook count', 'replaced door', 'resolution replaced', 'right 83', 'right capacitor', 'right ovencook', 'switch blow', 'switch fuse', 'weak door']","['103issue oven weak', '208211amp right 83', '250342faults door openvoltage', '82heater amps 103issue', '83 left 82heater', 'amps 103issue oven', 'blow right capacitor', 'capacitor closed fcc', 'capacitor resolution replaced', 'closed fcc 1050pst', 'count 250342faults door', 'door openvoltage 208211amp', 'door switch blow', 'door switch fuse', 'fuse capacitor closed', 'left 82heater amps', 'openvoltage 208211amp right', 'oven weak door', 'ovencook count 250342faults', 'replaced door switch', 'resolution replaced door', 'right 83 left', 'right capacitor resolution', 'right ovencook count', 'switch blow right', 'switch fuse capacitor', 'weak door switch']"
"Right Oven
Cook Count: 250342
Faults: Door Open
Voltage: 208(211)
Amps: Right: 8.3
             Left: 8.2
Heater Amps: 10.3

Issue: Found oven with weak door switches and a blown right capacitor 

Resolution: Replaced door switch, fuse and capacitor 

Closed with FCC at 1050PST","['door', 'right', 'capacitor', 'switch', '103issue', '1050pst', '208211amp', '250342faults', '82heater', '83', 'amps', 'blow', 'closed', 'count', 'fcc', 'fuse', 'left', 'openvoltage', 'oven', 'ovencook', 'replaced', 'resolution', 'weak']","['103issue oven', '208211amp right', '250342faults door', '82heater amps', '83 left', 'amps 103issue', 'blow right', 'capacitor closed', 'capacitor resolution', 'closed fcc', 'count 250342faults', 'door openvoltage', 'door switch', 'fcc 1050pst', 'fuse capacitor', 'left 82heater', 'openvoltage 208211amp', 'oven weak', 'ovencook count', 'replaced door', 'resolution replaced', 'right 83', 'right capacitor', 'right ovencook', 'switch blow', 'switch fuse', 'weak door']","['103issue oven weak', '208211amp right 83', '250342faults door openvoltage', '82heater amps 103issue', '83 left 82heater', 'amps 103issue oven', 'blow right capacitor', 'capacitor closed fcc', 'capacitor resolution replaced', 'closed fcc 1050pst', 'count 250342faults door', 'door openvoltage 208211amp', 'door switch blow', 'door switch fuse', 'fuse capacitor closed', 'left 82heater amps', 'openvoltage 208211amp right', 'oven weak door', 'ovencook count 250342faults', 'replaced door switch', 'resolution replaced door', 'right 83 left', 'right capacitor resolution', 'right ovencook count', 'switch blow right', 'switch fuse capacitor', 'weak door switch']"
"Removed 
Left NGOD29185
Install 
Left 2007213090178
Lt mag 8.
Rt mag 8 
Loaded menu, date
Module sn 0008902010

Removed 
Right ngo29176
Install 
Right 2007213090183
Lt mag 8.5
Rt mag 8.5
Loaded menu, date
Module sn 0008222010","['mag', 'datemodule', 'left', 'menu', 'right', 'sn', '0008222010', '0008902010remove', '2007213090178lt', '2007213090183lt', '85loade', '85rt', '8rt', 'loaded', 'ngo29176install', 'ngod29185install', 'remove']","['0008902010remove right', '2007213090178lt mag', '2007213090183lt mag', '85loade menu', '85rt mag', '8rt mag', 'datemodule sn', 'left 2007213090178lt', 'left ngod29185install', 'loaded menu', 'mag 85loade', 'mag 85rt', 'mag 8rt', 'mag loaded', 'menu datemodule', 'ngo29176install right', 'ngod29185install left', 'remove left', 'right 2007213090183lt', 'right ngo29176install', 'sn 0008222010', 'sn 0008902010remove']","['0008902010remove right ngo29176install', '2007213090178lt mag 8rt', '2007213090183lt mag 85rt', '85loade menu datemodule', '85rt mag 85loade', '8rt mag loaded', 'datemodule sn 0008222010', 'datemodule sn 0008902010remove', 'left 2007213090178lt mag', 'left ngod29185install left', 'loaded menu datemodule', 'mag 85loade menu', 'mag 85rt mag', 'mag 8rt mag', 'mag loaded menu', 'menu datemodule sn', 'ngo29176install right 2007213090183lt', 'ngod29185install left 2007213090178lt', 'remove left ngod29185install', 'right 2007213090183lt mag', 'right ngo29176install right', 'sn 0008902010remove right']"
"Replaced cable, tested oven.

Oven operating nominally.

Dispatch please close","['cable', 'close', 'nominallydispatch', 'operate', 'ovenoven', 'replace']","['cable ovenoven', 'nominallydispatch close', 'operate nominallydispatch', 'ovenoven operate', 'replace cable']","['cable ovenoven operate', 'operate nominallydispatch close', 'ovenoven operate nominallydispatch', 'replace cable ovenoven']"
"Cook count: 74439

Found Switch3 to be faulty.

Replaced & adjusted Switch3, tested oven, cleaned panels, downloaded error log.

Oven operating nominally 

Dispatch please close","['switch3', '74439found', 'adjust', 'clean', 'close', 'cook', 'count', 'dispatch', 'download', 'error', 'faultyreplace', 'logoven', 'nominally', 'operate', 'oven', 'panel']","['74439found switch3', 'adjust switch3', 'clean panel', 'cook count', 'count 74439found', 'dispatch close', 'download error', 'error logoven', 'faultyreplace adjust', 'logoven operate', 'nominally dispatch', 'operate nominally', 'oven clean', 'panel download', 'switch3 faultyreplace', 'switch3 oven']","['74439found switch3 faultyreplace', 'adjust switch3 oven', 'clean panel download', 'cook count 74439found', 'count 74439found switch3', 'download error logoven', 'error logoven operate', 'faultyreplace adjust switch3', 'logoven operate nominally', 'nominally dispatch close', 'operate nominally dispatch', 'oven clean panel', 'panel download error', 'switch3 faultyreplace adjust', 'switch3 oven clean']"
"Cook count: 101767

Found a bad SW1 switch.

Replaced SW1, tested oven, cleaned panels, downloaded error log.

Oven operating nominally.

Dispatch please close","['sw1', '101767found', 'bad', 'clean', 'close', 'cook', 'count', 'download', 'error', 'logoven', 'nominallydispatch', 'operate', 'oven', 'panel', 'switchreplace']","['101767found bad', 'bad sw1', 'clean panel', 'cook count', 'count 101767found', 'download error', 'error logoven', 'logoven operate', 'nominallydispatch close', 'operate nominallydispatch', 'oven clean', 'panel download', 'sw1 oven', 'sw1 switchreplace', 'switchreplace sw1']","['101767found bad sw1', 'bad sw1 switchreplace', 'clean panel download', 'cook count 101767found', 'count 101767found bad', 'download error logoven', 'error logoven operate', 'logoven operate nominallydispatch', 'operate nominallydispatch close', 'oven clean panel', 'panel download error', 'sw1 oven clean', 'sw1 switchreplace sw1', 'switchreplace sw1 oven']"
"Cook count: 102979

Oven in use when I arrived. Occasionally says door open when closed.

Adjusted SW1, tested oven, downloaded error log.

Oven operating nominally

Closed with FCC @ 1730 PST","['102979oven', '1730', 'arrive', 'closedadjuste', 'cook', 'count', 'door', 'download', 'error', 'fcc', 'logoven', 'nominallyclosed', 'occasionally', 'open', 'operate', 'oven', 'pst', 'say', 'sw1', 'use']","['102979oven use', '1730 pst', 'arrive occasionally', 'closedadjuste sw1', 'cook count', 'count 102979oven', 'door open', 'download error', 'error logoven', 'fcc 1730', 'logoven operate', 'nominallyclosed fcc', 'occasionally say', 'open closedadjuste', 'operate nominallyclosed', 'oven download', 'say door', 'sw1 oven', 'use arrive']","['102979oven use arrive', 'arrive occasionally say', 'closedadjuste sw1 oven', 'cook count 102979oven', 'count 102979oven use', 'door open closedadjuste', 'download error logoven', 'error logoven operate', 'fcc 1730 pst', 'logoven operate nominallyclosed', 'nominallyclosed fcc 1730', 'occasionally say door', 'open closedadjuste sw1', 'operate nominallyclosed fcc', 'oven download error', 'say door open', 'sw1 oven download', 'use arrive occasionally']"
"Left 
Cook Count 111260


Oven in use upon my arrival. Right oven cold, had to wait 15 minutes for it to warm up before work could proceed.

Worn door seal.

Replaced seal. Had to do outside in rain due to partner interference.
Adjusted left and right switch assys.
Lubed hinges.
Ran system tests.
Advised SS to not use oven until tomorrow morning.","['leave', 'oven', 'right', 'use', '111260oven', '15', 'arrival', 'assyslubed', 'cold', 'cook', 'count', 'door', 'hingesran', 'interferenceadjuste', 'minute', 'morning', 'outside', 'partner', 'proceedworn', 'rain', 'seal', 'sealreplace', 'ss', 'switch', 'testsadvise', 'tomorrow', 'wait', 'warm', 'work']","['111260oven use', '15 minute', 'arrival right', 'assyslubed hingesran', 'cold wait', 'cook count', 'count 111260oven', 'door sealreplace', 'hingesran testsadvise', 'interferenceadjuste leave', 'leave cook', 'leave right', 'minute warm', 'outside rain', 'oven cold', 'oven tomorrow', 'partner interferenceadjuste', 'proceedworn door', 'rain partner', 'right oven', 'right switch', 'seal outside', 'sealreplace seal', 'ss use', 'switch assyslubed', 'testsadvise ss', 'tomorrow morning', 'use arrival', 'use oven', 'wait 15', 'warm work', 'work proceedworn']","['111260oven use arrival', '15 minute warm', 'arrival right oven', 'assyslubed hingesran testsadvise', 'cold wait 15', 'cook count 111260oven', 'count 111260oven use', 'door sealreplace seal', 'hingesran testsadvise ss', 'interferenceadjuste leave right', 'leave cook count', 'leave right switch', 'minute warm work', 'outside rain partner', 'oven cold wait', 'oven tomorrow morning', 'partner interferenceadjuste leave', 'proceedworn door sealreplace', 'rain partner interferenceadjuste', 'right oven cold', 'right switch assyslubed', 'seal outside rain', 'sealreplace seal outside', 'ss use oven', 'switch assyslubed hingesran', 'testsadvise ss use', 'use arrival right', 'use oven tomorrow', 'wait 15 minute', 'warm work proceedworn', 'work proceedworn door']"
"Oven Type + 2007213090178 L
Cook Count 144557
Faults E116
Voltage 208
Amperage 8.8,8.4
Heater Amperage 11.0

Issues Found:
•Not heating.
•Door seal damaged.
•

Resolutions:
•Replaced SRB.
•Replaced door seal.
•

Tested Unit, All test pass with 0 Faults.","['110issues', '144557faults', '2007213090178', '208amperage', '8884heater', 'amperage', 'count', 'door', 'e116voltage', 'fault', 'lcook', 'oven', 'pass', 'seal', 'test', 'type', 'unit', 'damaged', 'heating', 'replace', 'replaced', 'resolutions', 'srb', 'tested']","['110issues heating', '144557faults e116voltage', '2007213090178 lcook', '208amperage 8884heater', '8884heater amperage', 'amperage 110issues', 'count 144557faults', 'damaged resolutions', 'door seal', 'e116voltage 208amperage', 'heating door', 'lcook count', 'oven type', 'pass fault', 'replace srb', 'replaced door', 'resolutions replace', 'seal damaged', 'seal tested', 'srb replaced', 'test pass', 'tested unit', 'type 2007213090178', 'unit test']","['110issues heating door', '144557faults e116voltage 208amperage', '2007213090178 lcook count', '208amperage 8884heater amperage', '8884heater amperage 110issues', 'amperage 110issues heating', 'count 144557faults e116voltage', 'damaged resolutions replace', 'door seal damaged', 'door seal tested', 'e116voltage 208amperage 8884heater', 'heating door seal', 'lcook count 144557faults', 'oven type 2007213090178', 'replace srb replaced', 'replaced door seal', 'resolutions replace srb', 'seal damaged resolutions', 'seal tested unit', 'srb replaced door', 'test pass fault', 'tested unit test', 'type 2007213090178 lcook', 'unit test pass']"
"Oven Type + 2007213090178 L
Cook Count 144557
Faults E116
Voltage 208
Amperage 8.8,8.4
Heater Amperage 11.0

Issues Found:
•Not heating.
•Door seal damaged.
•

Resolutions:
•Replaced SRB.
•Replaced door seal.
•

Tested Unit, All test pass with 0 Faults.","['110issues', '144557faults', '2007213090178', '208amperage', '8884heater', 'amperage', 'count', 'door', 'e116voltage', 'fault', 'lcook', 'oven', 'pass', 'seal', 'test', 'type', 'unit', 'damaged', 'heating', 'replace', 'replaced', 'resolutions', 'srb', 'tested']","['110issues heating', '144557faults e116voltage', '2007213090178 lcook', '208amperage 8884heater', '8884heater amperage', 'amperage 110issues', 'count 144557faults', 'damaged resolutions', 'door seal', 'e116voltage 208amperage', 'heating door', 'lcook count', 'oven type', 'pass fault', 'replace srb', 'replaced door', 'resolutions replace', 'seal damaged', 'seal tested', 'srb replaced', 'test pass', 'tested unit', 'type 2007213090178', 'unit test']","['110issues heating door', '144557faults e116voltage 208amperage', '2007213090178 lcook count', '208amperage 8884heater amperage', '8884heater amperage 110issues', 'amperage 110issues heating', 'count 144557faults e116voltage', 'damaged resolutions replace', 'door seal damaged', 'door seal tested', 'e116voltage 208amperage 8884heater', 'heating door seal', 'lcook count 144557faults', 'oven type 2007213090178', 'replace srb replaced', 'replaced door seal', 'resolutions replace srb', 'seal damaged resolutions', 'seal tested unit', 'srb replaced door', 'test pass fault', 'tested unit test', 'type 2007213090178 lcook', 'unit test pass']"
"Oven Type + 2007213090178 L
Cook Count 148072
Faults F
Voltage 208
Amperage 8.1,8.1
Heater Amperage 11.1

Issues Found:
•Left panel very hot. Gaps in insulation allowing hot gas to escape.
•Primary door switch preventing door from sealing.
•

Resolutions:
•Placed metal foil tape over gaps. Cover was curved inward, touching insulation, reshaped to get clearance.
•Replaced primary door switch, bent paddle to get better action from hinge arm.
•

Tested Unit, All test pass with 0 Faults.","['door', 'hot', 'insulation', 'switch', '111issue', '148072faults', '2007213090178', '208amperage', '8181heater', 'action', 'allow', 'amperage', 'bent', 'count', 'cover', 'curve', 'fault', 'foil', 'fvoltage', 'gap', 'gaps', 'gas', 'hinge', 'inward', 'lcook', 'metal', 'oven', 'paddle', 'panel', 'pass', 'prevent', 'primary', 'reshape', 'tape', 'test', 'touch', 'type', 'unit', 'arm', 'clearance', 'escape', 'left', 'placed', 'replace', 'resolutions', 'sealing', 'teste']","['111issue left', '148072faults fvoltage', '2007213090178 lcook', '208amperage 8181heater', '8181heater amperage', 'action hinge', 'allow hot', 'amperage 111issue', 'arm teste', 'bent paddle', 'clearance replace', 'count 148072faults', 'cover curve', 'curve inward', 'door sealing', 'door switch', 'escape primary', 'foil tape', 'fvoltage 208amperage', 'gap cover', 'gaps insulation', 'gas escape', 'hinge arm', 'hot gaps', 'hot gas', 'insulation allow', 'insulation reshape', 'inward touch', 'lcook count', 'left panel', 'metal foil', 'oven type', 'paddle action', 'panel hot', 'pass fault', 'placed metal', 'prevent door', 'primary door', 'replace primary', 'reshape clearance', 'resolutions placed', 'sealing resolutions', 'switch bent', 'switch prevent', 'tape gap', 'test pass', 'teste unit', 'touch insulation', 'type 2007213090178', 'unit test']","['111issue left panel', '148072faults fvoltage 208amperage', '2007213090178 lcook count', '208amperage 8181heater amperage', '8181heater amperage 111issue', 'action hinge arm', 'allow hot gas', 'amperage 111issue left', 'arm teste unit', 'bent paddle action', 'clearance replace primary', 'count 148072faults fvoltage', 'cover curve inward', 'curve inward touch', 'door sealing resolutions', 'door switch bent', 'door switch prevent', 'escape primary door', 'foil tape gap', 'fvoltage 208amperage 8181heater', 'gap cover curve', 'gaps insulation allow', 'gas escape primary', 'hinge arm teste', 'hot gaps insulation', 'hot gas escape', 'insulation allow hot', 'insulation reshape clearance', 'inward touch insulation', 'lcook count 148072faults', 'left panel hot', 'metal foil tape', 'oven type 2007213090178', 'paddle action hinge', 'panel hot gaps', 'placed metal foil', 'prevent door sealing', 'primary door switch', 'replace primary door', 'reshape clearance replace', 'resolutions placed metal', 'sealing resolutions placed', 'switch bent paddle', 'switch prevent door', 'tape gap cover', 'test pass fault', 'teste unit test', 'touch insulation reshape', 'type 2007213090178 lcook', 'unit test pass']"
"Oven Type + Side 2007213090178 L 
Cook Count 159294
Faults
Voltage 208
Amperage 8.5,8.6
Heater Amperage 11.1
Issues Found:
•Blown 20 F2 20 amp fuse.
•Right hinge making internal clicking noise.
•

Resolutions:
•Replaced fuse.
•Cleaned and lubed hinges, heated oven, still making noise. No replacement part on-hand, will order part.
•

6/1/22
Replaced hinges.

Tested Unit, All test pass with 0 Faults. Oven in service.","['oven', '20', 'hinge', 'make', '111issue', '159294faultsvoltage', '2007213090178', '208amperage', '8586heater', 'amp', 'amperage', 'clicking', 'cook', 'count', 'f2', 'faults', 'heat', 'hingesteste', 'internal', 'lube', 'noise', 'onhand', 'order', 'pass', 'replacement', 'service', 'test', 'type', 'unit', '6122replace', 'blown', 'cleaned', 'fuse', 'replace', 'resolutions', 'right']","['111issue blown', '159294faultsvoltage 208amperage', '20 amp', '20 f2', '2007213090178 cook', '208amperage 8586heater', '6122replace hingesteste', '8586heater amperage', 'amp fuse', 'amperage 111issue', 'blown 20', 'cleaned lube', 'clicking noise', 'cook count', 'count 159294faultsvoltage', 'f2 20', 'faults oven', 'fuse cleaned', 'fuse right', 'heat oven', 'hinge heat', 'hinge make', 'hingesteste unit', 'internal clicking', 'lube hinge', 'make internal', 'make noise', 'noise replacement', 'noise resolutions', 'onhand order', 'order 6122replace', 'oven make', 'oven service', 'oven type', 'pass faults', 'replace fuse', 'replacement onhand', 'resolutions replace', 'right hinge', 'test pass', 'type 2007213090178', 'unit test']","['111issue blown 20', '159294faultsvoltage 208amperage 8586heater', '20 amp fuse', '20 f2 20', '2007213090178 cook count', '208amperage 8586heater amperage', '6122replace hingesteste unit', '8586heater amperage 111issue', 'amp fuse right', 'amperage 111issue blown', 'blown 20 f2', 'cleaned lube hinge', 'clicking noise resolutions', 'cook count 159294faultsvoltage', 'count 159294faultsvoltage 208amperage', 'f2 20 amp', 'faults oven service', 'fuse cleaned lube', 'fuse right hinge', 'heat oven make', 'hinge heat oven', 'hinge make internal', 'hingesteste unit test', 'internal clicking noise', 'lube hinge heat', 'make internal clicking', 'make noise replacement', 'noise replacement onhand', 'noise resolutions replace', 'onhand order 6122replace', 'order 6122replace hingesteste', 'oven make noise', 'oven type 2007213090178', 'pass faults oven', 'replace fuse cleaned', 'replacement onhand order', 'resolutions replace fuse', 'right hinge make', 'test pass faults', 'type 2007213090178 cook', 'unit test pass']"
"Oven Type + Side 2007213090178 L 
Cook Count 159294
Faults
Voltage 208
Amperage 8.5,8.6
Heater Amperage 11.1
Issues Found:
•Blown 20 F2 20 amp fuse.
•Right hinge making internal clicking noise.
•

Resolutions:
•Replaced fuse.
•Cleaned and lubed hinges, heated oven, still making noise. No replacement part on-hand, will order part.
•

6/1/22
Replaced hinges.

Tested Unit, All test pass with 0 Faults. Oven in service.","['oven', '20', 'hinge', 'make', '111issue', '159294faultsvoltage', '2007213090178', '208amperage', '8586heater', 'amp', 'amperage', 'clicking', 'cook', 'count', 'f2', 'faults', 'heat', 'hingesteste', 'internal', 'lube', 'noise', 'onhand', 'order', 'pass', 'replacement', 'service', 'test', 'type', 'unit', '6122replace', 'blown', 'cleaned', 'fuse', 'replace', 'resolutions', 'right']","['111issue blown', '159294faultsvoltage 208amperage', '20 amp', '20 f2', '2007213090178 cook', '208amperage 8586heater', '6122replace hingesteste', '8586heater amperage', 'amp fuse', 'amperage 111issue', 'blown 20', 'cleaned lube', 'clicking noise', 'cook count', 'count 159294faultsvoltage', 'f2 20', 'faults oven', 'fuse cleaned', 'fuse right', 'heat oven', 'hinge heat', 'hinge make', 'hingesteste unit', 'internal clicking', 'lube hinge', 'make internal', 'make noise', 'noise replacement', 'noise resolutions', 'onhand order', 'order 6122replace', 'oven make', 'oven service', 'oven type', 'pass faults', 'replace fuse', 'replacement onhand', 'resolutions replace', 'right hinge', 'test pass', 'type 2007213090178', 'unit test']","['111issue blown 20', '159294faultsvoltage 208amperage 8586heater', '20 amp fuse', '20 f2 20', '2007213090178 cook count', '208amperage 8586heater amperage', '6122replace hingesteste unit', '8586heater amperage 111issue', 'amp fuse right', 'amperage 111issue blown', 'blown 20 f2', 'cleaned lube hinge', 'clicking noise resolutions', 'cook count 159294faultsvoltage', 'count 159294faultsvoltage 208amperage', 'f2 20 amp', 'faults oven service', 'fuse cleaned lube', 'fuse right hinge', 'heat oven make', 'hinge heat oven', 'hinge make internal', 'hingesteste unit test', 'internal clicking noise', 'lube hinge heat', 'make internal clicking', 'make noise replacement', 'noise replacement onhand', 'noise resolutions replace', 'onhand order 6122replace', 'order 6122replace hingesteste', 'oven make noise', 'oven type 2007213090178', 'pass faults oven', 'replace fuse cleaned', 'replacement onhand order', 'resolutions replace fuse', 'right hinge make', 'test pass faults', 'type 2007213090178 cook', 'unit test pass']"
"Oven: 2007213090178, Left
Cook Count: 160252
Voltage: 208V
Mag Amps: 7.
Left: 7.5A
Right: 7.7A
Heater Amps: 10.9A
 
Issue: Making strange noises.
 
Resolution: Oven in use when I arrived. Tested & inspected oven, could not duplicate customer complaint.

Oven operating nominally","['oven', 'amps', '109a', '160252voltage', '2007213090178', '208vmag', '75aright', '77aheater', '7left', 'arrive', 'complaintoven', 'count', 'customer', 'duplicate', 'inspect', 'issue', 'leftcook', 'make', 'noise', 'nominally', 'operate', 'resolution', 'strange', 'use']","['109a issue', '160252voltage 208vmag', '2007213090178 leftcook', '208vmag amps', '75aright 77aheater', '77aheater amps', '7left 75aright', 'amps 109a', 'amps 7left', 'arrive inspect', 'complaintoven operate', 'count 160252voltage', 'customer complaintoven', 'duplicate customer', 'inspect oven', 'issue make', 'leftcook count', 'make strange', 'noise resolution', 'operate nominally', 'oven 2007213090178', 'oven duplicate', 'oven use', 'resolution oven', 'strange noise', 'use arrive']","['109a issue make', '160252voltage 208vmag amps', '2007213090178 leftcook count', '208vmag amps 7left', '75aright 77aheater amps', '77aheater amps 109a', '7left 75aright 77aheater', 'amps 109a issue', 'amps 7left 75aright', 'arrive inspect oven', 'complaintoven operate nominally', 'count 160252voltage 208vmag', 'customer complaintoven operate', 'duplicate customer complaintoven', 'inspect oven duplicate', 'issue make strange', 'leftcook count 160252voltage', 'make strange noise', 'noise resolution oven', 'oven 2007213090178 leftcook', 'oven duplicate customer', 'oven use arrive', 'resolution oven use', 'strange noise resolution', 'use arrive inspect']"
"Oven: 2007213090178, Left
Cook Count: 192785
Voltage: 208V
Mag Amps: 
Left: 8.4A
Right: 8.5A
Heater Amps: 11.1A
 
Issue: Door open error 
 
Resolution: Found a bad SW3 and blown F2 20A fuse.

Replaced and adjusted all three switches & F2 20A fuse, ran recommission tests, all passed.

Oven operating nominally.","['20a', 'f2', '111a', '192785voltage', '2007213090178', '208vmag', '84aright', '85aheater', 'adjust', 'amp', 'amps', 'bad', 'blow', 'count', 'door', 'error', 'fuse', 'fusereplace', 'issue', 'leave', 'leftcook', 'nominally', 'open', 'operate', 'oven', 'passedoven', 'recommission', 'resolution', 'run', 'sw3', 'switch', 'test']","['111a issue', '192785voltage 208vmag', '2007213090178 leftcook', '208vmag amp', '20a fuse', '20a fusereplace', '84aright 85aheater', '85aheater amps', 'adjust switch', 'amp leave', 'amps 111a', 'bad sw3', 'blow f2', 'count 192785voltage', 'door open', 'error resolution', 'f2 20a', 'fuse run', 'fusereplace adjust', 'issue door', 'leave 84aright', 'leftcook count', 'open error', 'operate nominally', 'oven 2007213090178', 'passedoven operate', 'recommission test', 'resolution bad', 'run recommission', 'sw3 blow', 'switch f2', 'test passedoven']","['111a issue door', '192785voltage 208vmag amp', '2007213090178 leftcook count', '208vmag amp leave', '20a fuse run', '20a fusereplace adjust', '84aright 85aheater amps', '85aheater amps 111a', 'adjust switch f2', 'amp leave 84aright', 'amps 111a issue', 'bad sw3 blow', 'blow f2 20a', 'count 192785voltage 208vmag', 'door open error', 'error resolution bad', 'f2 20a fuse', 'f2 20a fusereplace', 'fuse run recommission', 'fusereplace adjust switch', 'issue door open', 'leave 84aright 85aheater', 'leftcook count 192785voltage', 'open error resolution', 'oven 2007213090178 leftcook', 'passedoven operate nominally', 'recommission test passedoven', 'resolution bad sw3', 'run recommission test', 'sw3 blow f2', 'switch f2 20a', 'test passedoven operate']"
